detailed_major_name,Avg_Log_Annual_Earnings
Engineering,10.893563512147683
Computer and Information Sciences,10.841128742803823
Economics,10.779003362148353
Engineering Technologies,10.7695117806243
Architecture,10.714156792113162
Mathematics and Statistics,10.675846570848385
Business,10.625805648527166
Medical and Health Sciences and Services,10.554143000916211
Agriculture,10.488748795175374
Physical Sciences,10.467611598378651
Communications,10.461015586138679
Other Social Science,10.4179928488451
Criminal Justice and Fire Protection,10.413960299146101
Interdisciplinary and Multi-Disciplinary Studies (General),10.355210890826822
History,10.352860648997599
Philosophy and Religious Studies,10.317183767374091
Environment and Natural Resources,10.315779799841481
"Public Affairs, Policy, and Social Work",10.307802990346602
Education Administration and Teaching,10.288217252578061
"Physical Fitness, Parks, Recreation, and Leisure",10.286406307459126
Biology and Life Sciences,10.264674960150334
Linguistics and Foreign Languages,10.260012799286756
"English Language, Literature, and Composition",10.255730208184827
Psychology,10.241671892509316
Fine Arts,10.225243452100342
Liberal Arts and Humanities,10.223803393539018
Family and Consumer Sciences,10.135291806151292
