EDUCGROUP,IRREGULAR,Mean_Hourly_Wage
College,Irregular,19.514791528728182
College,Regular,24.64295653739156
High School Graduates,Irregular,11.832197971323074
High School Graduates,Regular,13.887961611430882
Less than High School,Irregular,7.976209293225431
Less than High School,Regular,9.922340329538766
Some College,Irregular,12.714615448160703
Some College,Regular,15.778447817043793
