AGEGROUP,Irregular,Regular,Fraction_Irregular
16-20,415,570,0.4213197969543147
21-30,540,2365,0.18588640275387264
31-40,418,2919,0.125262211567276
41-50,424,3494,0.1082184788157223
51-64,339,2703,0.11143984220907298
NA,72,452,0.13740458015267176
